,DECLARANT,PARTNER,TCI_2001,TCI_2002,TCI_2003,TCI_2004,TCI_2005,TCI_2006,TCI_2007,TCI_2008,TCI_2009,TCI_2010,TCI_2011,TCI_2012,TCI_2013,TCI_2014,TCI_2015,TCI_2016,TCI_2017
<<<<<<< HEAD
18,AT,BE,1.0281711186897773,1.247507337920897,0.9840459830333632,0.985485313788998,0.94251644803773,1.0043598945167374,1.0862410604316934,1.1681852931173622,1.1604400547488238,1.1189972458274662,1.1398583820064472,1.2479194740357658,1.2661179012245725,1.1813966522493462,1.0913754884554652,1.0977782720449791,1.1040311730062151
19,AT,BF,3.8445559495684174,2.369930571785812,2.991005072090469,3.4533781034528044,3.634371114550202,3.417725983106532,3.16823097663347,3.94355291539109,3.34404384449573,2.98352793871196,3.341902375492916,2.5987869797683643,3.607975887128284,3.211768561339152,2.9785798926401545,2.4615472009557617,2.634756761914531
20,AT,BG,0.7503813711937134,0.6689809222779958,0.6482979060567463,0.5895368527325144,0.5488396180863391,0.496234903974962,0.6198719988970955,0.5902414782593888,0.6756894572183618,0.7062226373732137,0.7098066774937385,0.6603627274420782,0.7329685870684552,0.7118942837882353,0.7146831529275369,0.6833933988552503,0.690968661695198
21,AT,BH,2.400598442839579,2.011286307207641,2.1648871220184547,2.1995150068923217,2.0147536711692444,1.604055052452482,1.7357706231686083,1.7881777037127562,1.9144242023748328,1.9876510676776624,2.2400794239052204,1.9701916089854845,1.6286343082397992,1.727036634551906,1.5421440148302734,1.5299592573297185,2.2756676552446367
22,AT,BI,1.807653457418381,2.8232633856237186,2.844049801464477,3.9592349653229,2.652373931632841,4.099627039605854,3.782748377518644,3.338802274848345,3.6635203816693473,5.585678772947075,3.54720297205254,3.723444139709392,6.944759376251359,4.714727565854833,6.132079512238332,5.340767979753278,5.163965319300286
23,AT,BJ,3.5543247919549392,4.249393305637386,4.038982031540532,4.139061319724889,4.2783749541411895,4.53935631235555,4.360509459804738,4.646543947438056,3.2973649618424274,4.900649203578571,4.976603722079466,4.142065421411323,3.76892179289102,3.66863350420212,3.372859060322005,3.407284943797154,3.1338306407513574
24,AT,BL,,,,,,,,,,,,,,5.663412546483692,4.930620526389089,3.3583588651565206,5.780259237874287
25,AT,BM,6.4344755922336745,5.812914212098696,6.284735682815629,5.023303703735953,6.46280825046756,6.851386624333518,6.6651321528170575,5.636822456609925,5.151923154811112,5.773858618579862,4.740173929368106,5.085045088628589,3.7241886315133694,4.138325503871656,5.479852007693548,3.846425136935036,3.2749766210398645
26,AT,BN,3.3240435806730866,2.8616464032710915,5.1765122351897634,3.584914353178112,4.443168989024927,3.690031047938093,4.057538718042877,3.5837990437466143,3.97627286239176,4.966533096579104,3.426577488375951,5.894508338806436,5.095537950381938,2.9497921588153724,4.397132470852323,4.858761524619294,3.7780636362986737
27,AT,BO,3.1119094463347645,3.394437456991453,2.4030223992403195,2.415523140954366,2.547063221639679,2.3442032272611697,2.2906075318545014,2.3168605898572947,2.4461946983992617,2.1387988247251184,2.0989995042347926,2.1531557944493764,2.3468626346770067,2.123251311830016,1.7067413635645208,1.8272741374466281,1.5068685311287973
